교과목명,분반,교수,개설학과전공,이수구분,영역,캠퍼스,학점/이론/실습,시간표,수업유형,수강안내 및 지정내용,평점,출결,시험,과제,조모임,성적,예측_강의력,예측_풀강
움직임트레이닝 1,1,양주희,미디어영상연기학과,핵심전공,1영역,운정,2.0/0.0/3.0,화/3-5,일반,미디어영상연기학과 1학년만 수강 가능,모름,모름,모름,모름,모름,모름,모름,모름
메소드연기 1,1,김혜진,미디어영상연기학과,핵심전공,1영역,운정,2.0/0.0/3.0,"화/7-8,목/8-9",일반,팀티칭/미디어영상연기학과 1학년만 수강 가능,모름,모름,모름,모름,모름,모름,모름,모름
메소드연기 1,2,김정훈,미디어영상연기학과,핵심전공,1영역,운정,2.0/0.0/3.0,"화/8-9,목/7-8",일반,팀티칭/미디어영상연기학과 1학년만 수강 가능,3.67,직접호명,두 번,많음,보통,보통,보통,풀강 아님
메소드연기 1,3,김정훈,미디어영상연기학과,핵심전공,1영역,운정,2.0/0.0/3.0,목/4-6,일반,"[1학년전공탐색] [GeM(도전과실천)]
미디어영상연기학과 학생 수강 불가",3.67,직접호명,두 번,많음,보통,보통,보통,풀강 아님
매체연기 기초 1,1,권호영,미디어영상연기학과,핵심전공,1영역,운정,2.0/0.0/3.0,수/4-6,일반,미디어영상연기학과 1학년만 수강 가능,4.25,직접호명,한 번,없음,없음,보통,보통,모름
매체연기 기초 1,2,권호영,미디어영상연기학과,핵심전공,1영역,운정,2.0/0.0/3.0,수/7-9,일반,미디어영상연기학과 1학년만 수강 가능,4.25,직접호명,한 번,없음,없음,보통,보통,모름
매체연기 기초 1,3,권호영,미디어영상연기학과,핵심전공,1영역,운정,2.0/0.0/3.0,월/4-6,일반,"[1학년전공탐색] [GeM(도전과실천)]
미디어영상연기학과 학생 수강 불가",4.25,직접호명,한 번,없음,없음,보통,보통,모름
배우 화술 1,1,김혜진,미디어영상연기학과,핵심전공,2영역,운정,2.0/0.0/3.0,화/4-6,일반,미디어영상연기학과 2학년만 수강 가능,2.33,직접호명,두 번,많음,보통,보통,나쁨,모름
단편영화 프로덕션 1,1,박은형,미디어영상연기학과,핵심전공,2영역,운정,2.0/0.0/3.0,금/7-9,일반,미디어영상연기학과 2학년만 수강 가능,모름,모름,모름,모름,모름,모름,모름,모름
단편영화 프로덕션 1,2,권호영,미디어영상연기학과,핵심전공,2영역,운정,2.0/0.0/3.0,금/7-9,일반,미디어영상연기학과 2학년만 수강 가능,모름,모름,모름,모름,모름,모름,모름,모름
단편영화 프로덕션 1,3,임찬상,미디어영상연기학과,핵심전공,2영역,운정,2.0/0.0/3.0,수/7-9,일반,"인문융합예술대학 학생 및 융합문화예술대학 학생 수강 가능
미디어영상연기학과 학생 수강 불가",모름,모름,모름,모름,모름,모름,모름,모름
단편영화 프로덕션 1,4,임찬상,미디어영상연기학과,핵심전공,2영역,운정,2.0/0.0/3.0,월/7-9,일반,"인문융합예술대학 학생 및 융합문화예술대학 학생 수강 가능
미디어영상연기학과 학생 수강 불가",모름,모름,모름,모름,모름,모름,모름,모름
장면연기워크숍 1,1,김혜진,미디어영상연기학과,핵심전공,2영역,운정,2.0/0.0/3.0,"월/7-8,수/4-5",일반,팀티칭/미디어영상연기학과 2학년만 수강 가능,모름,모름,모름,모름,모름,모름,모름,모름
장면연기워크숍 1,2,김정훈,미디어영상연기학과,핵심전공,2영역,운정,2.0/0.0/3.0,"월/8-9,수/5-6",일반,팀티칭/미디어영상연기학과 2학년만 수강 가능,모름,모름,모름,모름,모름,모름,모름,모름
움직임워크숍 1,1,김세원,미디어영상연기학과,핵심전공,2영역,운정,2.0/0.0/3.0,월/3-5,일반,미디어영상연기학과 2학년만 수강 가능,모름,모름,모름,모름,모름,모름,모름,모름
공연워크샵 1,1,윤성호,미디어영상연기학과,심화전공,3영역,운정,2.0/0.0/3.0,수/7-9,일반,미디어영상연기학과 학생만 수강 가능,모름,모름,모름,모름,모름,모름,모름,모름
보컬 1,1,전은혜,미디어영상연기학과,심화전공,3영역,운정,1.0/0.0/2.0,화/4-5,일반,미디어영상연기학과 학생만 수강 가능,4.33,직접호명,두 번,보통,보통,보통,좋음,모름
보컬 1,2,전은혜,미디어영상연기학과,심화전공,3영역,운정,1.0/0.0/2.0,화/2-3,일반,"인문융합예술대학 학생 및 융합문화예술대학 학생 수강 가능
미디어영상연기학과 학생 수강 불가",4.33,직접호명,두 번,보통,보통,보통,좋음,모름
시나리오 분석과 캐릭터 창조 1,1,박은형,미디어영상연기학과,심화전공,3영역,운정,1.0/0.0/2.0,금/4-5,일반,팀티칭/미디어영상연기학과 학생만 수강 가능,모름,모름,모름,모름,모름,모름,모름,모름
연극 예술사,1,김혜진,미디어영상연기학과,심화전공,3영역,운정,2.0/2.0/0.0,목/4-5,일반,"미디어영상연기학과 2,3,4학년만 수강 가능",모름,모름,모름,모름,모름,모름,모름,모름
개별연기테크닉,1,지춘성,미디어영상연기학과,심화전공,4영역,운정,2.0/2.0/0.0,월/5-6,일반,미디어영상연기학과 학생만 수강 가능,모름,모름,모름,모름,모름,모름,모름,모름
장편드라마 연기실습 1,1,유영식,미디어영상연기학과,심화전공,4영역,운정,1.0/0.0/2.0,금/7-8,일반,미디어영상연기학과 학생만 수강 가능,모름,모름,모름,모름,모름,모름,모름,모름
졸업작품워크숍 1,1,정조은,미디어영상연기학과,심화전공,4영역,운정,2.0/0.0/3.0,수/1-3,일반,"PBL/미디어영상연기학과 4학년만 수강가능
팀티칭",모름,모름,모름,모름,모름,모름,모름,모름
졸업작품워크숍 1,2,신동일,미디어영상연기학과,심화전공,4영역,운정,2.0/0.0/3.0,목/7-9,일반,PBL/미디어영상연기학과 4학년만 수강가능,모름,모름,모름,모름,모름,모름,모름,모름
연기 이론의 이해 1,1,권호영,미디어영상연기학과,심화전공,4영역,운정,2.0/2.0/0.0,화/7-8,일반,미디어영상연기학과 4학년만 수강 가능,모름,모름,모름,모름,모름,모름,모름,모름
음악의 이해,1,김자현,현대실용음악학과,핵심전공,1영역,운정,3.0/3.0/0.0,목/1-3,일반,"2025학년도에만 한시적으로 1,2학기 모두 개설",2.13,전자출결,두 번,보통,없음,보통,보통,모름
기초 전공 실기 1,1,이지영,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,수/3,일반,25 보컬 신현희,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,4,이지영,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,월/6,일반,25 보컬 봉윤다,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,5,이지영,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,월/7,일반,25 보컬 최지안,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,6,이지영,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,수/4,일반,25 보컬 한세아,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,7,이지영,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,수/5,일반,25 보컬 박초은,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,8,이지영,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,수/6,일반,25 보컬 김민영,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,9,이지영,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,수/7,일반,25 보컬 정희진,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,10,유영하,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,월/6,일반,25 피아노 추세인,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,11,유영하,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,월/9,일반,25 피아노 강가은,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,12,유영하,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,월/2,일반,25 피아노 김여원,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,13,유영하,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,월/8,일반,25 피아노 이서윤,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,14,유영하,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,월/3,일반,25 피아노 이류경,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,15,유영하,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,월/7,일반,25 피아노 황자연,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,17,김영구,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,화/2,일반,25 기타 김가영,5,모름,모름,모름,모름,모름,좋음,모름
기초 전공 실기 1,18,김영구,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,화/7,일반,25 기타 김시현,5,모름,모름,모름,모름,모름,좋음,모름
기초 전공 실기 1,19,김영구,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,화/8,일반,25 기타 박시연,5,모름,모름,모름,모름,모름,좋음,모름
기초 전공 실기 1,20,김문희,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,수/4,일반,25 베이스 김승희,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,21,김문희,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,수/5,일반,25 베이스 이예나,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,22,임채광,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,목/1,일반,25 드럼 강민지,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,23,임채광,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,목/4,일반,25 드럼 김서영,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,24,안성옥,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,화/6,일반,25 보컬 신연수,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,25,안성옥,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,화/7,일반,25 보컬 최정원,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,26,안성옥,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,화/8,일반,25 보컬 신예원,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,27,안성옥,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,화/9,일반,25 보컬 장보선,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,28,안성옥,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,화/5,일반,25 보컬 이주연,모름,모름,모름,모름,모름,모름,모름,모름
기초 전공 실기 1,29,안성옥,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,수/4,일반,25 보컬 김현진,모름,모름,모름,모름,모름,모름,모름,모름
로직 프로 랩 1,1,변준형,현대실용음악학과,핵심전공,1영역,운정,2.0/1.0/1.0,목/8-9,원격(블렌디드형),"실습실 수용 인원 상 청강 및 증원 불가능, 현대실용음악학과 1,2 학년 수업
[1학년전공탐색][GeM(도전과실천)]",5,모름,모름,모름,모름,모름,좋음,모름
컨템포러리 음악 분석과 장르 1,1,김정범,현대실용음악학과,핵심전공,1영역,운정,2.0/2.0/0.0,수/8-9,원격(블렌디드형),현대실용음악학과 1학년 수업,4.33,반영안함,없음,많음,없음,너그러움,좋음,모름
아카펠라 앙상블,1,임경은,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,화/4,일반,"세부 전공 관계없이 수강 가능 / 현대실용음악학과 1학년 수업
[1학년전공탐색] [GeM(도전과 실천)]",3.75,직접호명,두 번,보통,많음,너그러움,나쁨,모름
아카펠라 앙상블,2,임경은,현대실용음악학과,핵심전공,1영역,운정,1.0/0.0/1.0,화/5,일반,"세부 전공 관계없이 수강 가능 / 현대실용음악학과 1학년 수업
[1학년전공탐색] [GeM(도전과 실천)]",3.75,직접호명,두 번,보통,많음,너그러움,나쁨,모름
핵심 전공 실기 1,1,남예지,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,화/1,일반,세부전공 : 보컬,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,2,남예지,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,화/2,일반,세부전공 : 보컬,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,3,남예지,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,화/3,일반,세부전공 : 보컬,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,4,남예지,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,화/4,일반,세부전공 : 보컬,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,5,남예지,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,화/5,일반,세부전공 : 보컬,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,6,남예지,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,수/1,일반,세부전공 : 보컬,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,7,남예지,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,수/2,일반,세부전공 : 보컬,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,8,남예지,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,수/3,일반,세부전공 : 보컬,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,9,남예지,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,수/4,일반,세부전공 : 보컬,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,10,이다솜,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,수/4,일반,세부전공 : 보컬,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,11,이다솜,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,수/5,일반,세부전공 : 보컬,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,13,김유미,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,화/6,일반,세부전공 : 피아노,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,14,이봉울,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,수/4,일반,세부전공 : 피아노,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,15,이봉울,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,수/5,일반,세부전공 : 피아노,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,18,우미진,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,화/2,일반,세부전공 :피아노,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,19,우미진,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,화/3,일반,세부전공 :피아노,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,20,우미진,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,목/2,일반,세부전공 :피아노,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,23,김영구,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,화/5,일반,세부전공 : 기타,모름,모름,모름,모름,모름,모름,모름,모름
핵심 전공 실기 1,24,김영구,현대실용음악학과,핵심전공,2영역,운정,1.0/0.0/1.0,화/6,일반,세부전공 : 기타,모름,모름,모름,모름,모름,모름,모름,모름
